,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
428,429,Mismagius,4,Normal,Magical Pokémon,1,Ghost,,0.9,4.4,1,Levitate,,,495,60,60,60,105,105,105,45.0,35.0,173.0,Fast,1,Amorphous,,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
429,430,Honchkrow,4,Normal,Big Boss Pokémon,2,Dark,Flying,0.9,27.3,3,Insomnia,Super Luck,Moxie,505,100,125,52,105,52,71,30.0,35.0,177.0,Medium Slow,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
430,431,Glameow,4,Normal,Catty Pokémon,1,Normal,,0.5,3.9,3,Limber,Own Tempo,Keen Eye,310,49,55,42,42,37,85,190.0,70.0,62.0,Fast,1,Field,,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
431,432,Purugly,4,Normal,Tiger Cat Pokémon,1,Normal,,1.0,43.8,3,Thick Fat,Own Tempo,Defiant,452,71,82,64,64,59,112,75.0,70.0,158.0,Fast,1,Field,,25.0,20.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
432,433,Chingling,4,Normal,Bell Pokémon,1,Psychic,,0.2,0.6,1,Levitate,,,285,45,30,50,65,50,45,120.0,70.0,57.0,Fast,1,Undiscovered,,50.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
433,434,Stunky,4,Normal,Skunk Pokémon,2,Poison,Dark,0.4,19.2,3,Stench,Aftermath,Keen Eye,329,63,63,47,41,41,74,225.0,70.0,66.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
434,435,Skuntank,4,Normal,Skunk Pokémon,2,Poison,Dark,1.0,38.0,3,Stench,Aftermath,Keen Eye,479,103,93,67,71,61,84,60.0,70.0,168.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
435,436,Bronzor,4,Normal,Bronze Pokémon,2,Steel,Psychic,0.5,60.5,3,Levitate,Heatproof,Heavy Metal,300,57,24,86,24,86,23,255.0,70.0,60.0,Medium Fast,1,Mineral,,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
436,437,Bronzong,4,Normal,Bronze Bell Pokémon,2,Steel,Psychic,1.3,187.0,3,Levitate,Heatproof,Heavy Metal,500,67,89,116,79,116,33,90.0,70.0,175.0,Medium Fast,1,Mineral,,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
437,438,Bonsly,4,Normal,Bonsai Pokémon,1,Rock,,0.5,15.0,3,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10,255.0,70.0,58.0,Medium Fast,1,Undiscovered,,50.0,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
438,439,Mime Jr.,4,Normal,Mime Pokémon,2,Psychic,Fairy,0.6,13.0,3,Soundproof,Filter,Technician,310,20,25,45,70,90,60,145.0,70.0,62.0,Medium Fast,1,Undiscovered,,50.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
439,440,Happiny,4,Normal,Playhouse Pokémon,1,Normal,,0.6,24.4,3,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30,130.0,140.0,110.0,Fast,1,Undiscovered,,0.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
440,441,Chatot,4,Normal,Music Note Pokémon,2,Normal,Flying,0.5,1.9,3,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91,30.0,35.0,144.0,Medium Slow,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
441,442,Spiritomb,4,Normal,Forbidden Pokémon,2,Ghost,Dark,1.0,108.0,2,Pressure,,Infiltrator,485,50,92,108,92,108,35,100.0,70.0,170.0,Medium Fast,1,Amorphous,,50.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
442,443,Gible,4,Normal,Land Shark Pokémon,2,Dragon,Ground,0.7,20.5,2,Sand Veil,,Rough Skin,300,58,70,45,40,45,42,45.0,70.0,60.0,Slow,2,Dragon,Monster,50.0,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
443,444,Gabite,4,Normal,Cave Pokémon,2,Dragon,Ground,1.4,56.0,2,Sand Veil,,Rough Skin,410,68,90,65,50,55,82,45.0,70.0,144.0,Slow,2,Dragon,Monster,50.0,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
444,445,Garchomp,4,Normal,Mach Pokémon,2,Dragon,Ground,1.9,95.0,2,Sand Veil,,Rough Skin,600,108,130,95,80,85,102,45.0,70.0,270.0,Slow,2,Dragon,Monster,50.0,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
445,446,Munchlax,4,Normal,Big Eater Pokémon,1,Normal,,0.6,105.0,3,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5,50.0,70.0,78.0,Slow,1,Undiscovered,,87.5,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
446,447,Riolu,4,Normal,Emanation Pokémon,1,Fighting,,0.7,20.2,3,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60,75.0,70.0,57.0,Medium Slow,1,Undiscovered,,87.5,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
447,448,Lucario,4,Normal,Aura Pokémon,2,Fighting,Steel,1.2,54.0,3,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90,45.0,70.0,184.0,Medium Slow,2,Field,Human-Like,87.5,25.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0
448,449,Hippopotas,4,Normal,Hippo Pokémon,1,Ground,,0.8,49.5,2,Sand Stream,,Sand Force,330,68,72,78,38,42,32,140.0,70.0,66.0,Slow,1,Field,,50.0,30.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
449,450,Hippowdon,4,Normal,Heavyweight Pokémon,1,Ground,,2.0,300.0,2,Sand Stream,,Sand Force,525,108,112,118,68,72,47,60.0,70.0,184.0,Slow,1,Field,,50.0,30.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
450,451,Skorupi,4,Normal,Scorpion Pokémon,2,Poison,Bug,0.8,12.0,3,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65,120.0,70.0,66.0,Slow,2,Bug,Water 3,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
451,452,Drapion,4,Normal,Ogre Scorp Pokémon,2,Poison,Dark,1.3,61.5,3,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95,45.0,70.0,175.0,Slow,2,Bug,Water 3,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
452,453,Croagunk,4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,0.7,23.0,3,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50,140.0,100.0,60.0,Medium Fast,1,Human-Like,,50.0,10.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
453,454,Toxicroak,4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,1.3,44.4,3,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85,75.0,70.0,172.0,Medium Fast,1,Human-Like,,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
454,455,Carnivine,4,Normal,Bug Catcher Pokémon,1,Grass,,1.4,27.0,1,Levitate,,,454,74,100,72,90,72,46,200.0,70.0,159.0,Slow,1,Grass,,50.0,25.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
455,456,Finneon,4,Normal,Wing Fish Pokémon,1,Water,,0.4,7.0,3,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66,190.0,70.0,66.0,Erratic,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
456,457,Lumineon,4,Normal,Neon Pokémon,1,Water,,1.2,24.0,3,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91,75.0,70.0,161.0,Erratic,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
457,458,Mantyke,4,Normal,Kite Pokémon,2,Water,Flying,1.0,65.0,3,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50,25.0,70.0,69.0,Slow,1,Undiscovered,,50.0,25.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
458,459,Snover,4,Normal,Frost Tree Pokémon,2,Grass,Ice,1.0,50.5,2,Snow Warning,,Soundproof,334,60,62,50,62,60,40,120.0,70.0,67.0,Slow,2,Grass,Monster,50.0,20.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
459,460,Abomasnow,4,Normal,Frost Tree Pokémon,2,Grass,Ice,2.2,135.5,2,Snow Warning,,Soundproof,494,90,92,75,92,85,60,60.0,70.0,173.0,Slow,2,Grass,Monster,50.0,20.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
460,461,Weavile,4,Normal,Sharp Claw Pokémon,2,Dark,Ice,1.1,34.0,2,Pressure,,Pickpocket,510,70,120,65,45,85,125,45.0,35.0,179.0,Medium Slow,1,Field,,50.0,20.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
461,462,Magnezone,4,Normal,Magnet Area Pokémon,2,Electric,Steel,1.2,180.0,3,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60,30.0,70.0,241.0,Medium Fast,1,Mineral,,,20.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
462,463,Lickilicky,4,Normal,Licking Pokémon,1,Normal,,1.7,140.0,3,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50,30.0,70.0,180.0,Medium Fast,1,Monster,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
463,464,Rhyperior,4,Normal,Drill Pokémon,2,Ground,Rock,2.4,282.8,3,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40,30.0,70.0,241.0,Slow,2,Field,Monster,50.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
464,465,Tangrowth,4,Normal,Vine Pokémon,1,Grass,,2.0,128.6,3,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50,30.0,70.0,187.0,Medium Fast,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
465,466,Electivire,4,Normal,Thunderbolt Pokémon,1,Electric,,1.8,138.6,2,Motor Drive,,Vital Spirit,540,75,123,67,95,85,95,30.0,70.0,243.0,Medium Fast,1,Human-Like,,75.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
466,467,Magmortar,4,Normal,Blast Pokémon,1,Fire,,1.6,68.0,2,Flame Body,,Vital Spirit,540,75,95,67,125,95,83,30.0,70.0,243.0,Medium Fast,1,Human-Like,,75.0,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
467,468,Togekiss,4,Normal,Jubilee Pokémon,2,Fairy,Flying,1.5,38.0,3,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80,30.0,70.0,245.0,Fast,2,Fairy,Flying,87.5,10.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
468,469,Yanmega,4,Normal,Ogre Darner Pokémon,2,Bug,Flying,1.9,51.5,3,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95,30.0,70.0,180.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
469,470,Leafeon,4,Normal,Verdant Pokémon,1,Grass,,1.0,25.5,2,Leaf Guard,,Chlorophyll,525,65,110,130,60,65,95,45.0,35.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
470,471,Glaceon,4,Normal,Fresh Snow Pokémon,1,Ice,,0.8,25.9,2,Snow Cloak,,Ice Body,525,65,60,110,130,95,65,45.0,35.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
471,472,Gliscor,4,Normal,Fang Scorp Pokémon,2,Ground,Flying,2.0,42.5,3,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95,30.0,70.0,179.0,Medium Slow,1,Bug,,50.0,20.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
472,473,Mamoswine,4,Normal,Twin Tusk Pokémon,2,Ice,Ground,2.5,291.0,3,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80,50.0,70.0,239.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
473,474,Porygon-Z,4,Normal,Virtual Pokémon,1,Normal,,0.9,34.0,3,Adaptability,Download,Analytic,535,85,80,70,135,75,90,30.0,70.0,241.0,Medium Fast,1,Mineral,,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
474,475,Gallade,4,Normal,Blade Pokémon,2,Psychic,Fighting,1.6,52.0,2,Steadfast,,Justified,518,68,125,65,65,115,80,45.0,35.0,233.0,Slow,2,Amorphous,Human-Like,100.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
475,476,Probopass,4,Normal,Compass Pokémon,2,Rock,Steel,1.4,340.0,3,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40,60.0,70.0,184.0,Medium Fast,1,Mineral,,50.0,20.0,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
476,477,Dusknoir,4,Normal,Gripper Pokémon,1,Ghost,,2.2,106.6,2,Pressure,,Frisk,525,45,100,135,65,135,45,45.0,35.0,236.0,Fast,1,Amorphous,,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
477,478,Froslass,4,Normal,Snow Land Pokémon,2,Ice,Ghost,1.3,26.6,2,Snow Cloak,,Cursed Body,480,70,80,70,80,70,110,75.0,70.0,168.0,Medium Fast,2,Fairy,Mineral,0.0,20.0,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0
478,479,Rotom,4,Normal,Plasma Pokémon,2,Electric,Ghost,0.3,0.3,1,Levitate,,,440,50,50,77,95,77,91,45.0,70.0,154.0,Medium Fast,1,Amorphous,,,20.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
494,495,Snivy,5,Normal,Grass Snake Pokémon,1,Grass,,0.6,8.1,2,Overgrow,,Contrary,308,45,45,55,45,55,63,45.0,70.0,62.0,Medium Slow,2,Field,Grass,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
495,496,Servine,5,Normal,Grass Snake Pokémon,1,Grass,,0.8,16.0,2,Overgrow,,Contrary,413,60,60,75,60,75,83,45.0,70.0,145.0,Medium Slow,2,Field,Grass,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
496,497,Serperior,5,Normal,Regal Pokémon,1,Grass,,3.3,63.0,2,Overgrow,,Contrary,528,75,75,95,75,95,113,45.0,70.0,238.0,Medium Slow,2,Field,Grass,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
497,498,Tepig,5,Normal,Fire Pig Pokémon,1,Fire,,0.5,9.9,2,Blaze,,Thick Fat,308,65,63,45,45,45,45,45.0,70.0,62.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
498,499,Pignite,5,Normal,Fire Pig Pokémon,2,Fire,Fighting,1.0,55.5,2,Blaze,,Thick Fat,418,90,93,55,70,55,55,45.0,70.0,146.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
499,500,Emboar,5,Normal,Mega Fire Pig Pokémon,2,Fire,Fighting,1.6,150.0,2,Blaze,,Reckless,528,110,123,65,100,65,65,45.0,70.0,238.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
500,501,Oshawott,5,Normal,Sea Otter Pokémon,1,Water,,0.5,5.9,2,Torrent,,Shell Armor,308,55,55,45,63,45,45,45.0,70.0,62.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
501,502,Dewott,5,Normal,Discipline Pokémon,1,Water,,0.8,24.5,2,Torrent,,Shell Armor,413,75,75,60,83,60,60,45.0,70.0,145.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
502,503,Samurott,5,Normal,Formidable Pokémon,1,Water,,1.5,94.6,2,Torrent,,Shell Armor,528,95,100,85,108,70,70,45.0,70.0,238.0,Medium Slow,1,Field,,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
503,504,Patrat,5,Normal,Scout Pokémon,1,Normal,,0.5,11.6,3,Run Away,Keen Eye,Analytic,255,45,55,39,35,39,42,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
504,505,Watchog,5,Normal,Lookout Pokémon,1,Normal,,1.1,27.0,3,Illuminate,Keen Eye,Analytic,420,60,85,69,60,69,77,255.0,70.0,147.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
505,506,Lillipup,5,Normal,Puppy Pokémon,1,Normal,,0.4,4.1,3,Vital Spirit,Pickup,Run Away,275,45,60,45,25,45,55,255.0,70.0,55.0,Medium Slow,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
506,507,Herdier,5,Normal,Loyal Dog Pokémon,1,Normal,,0.9,14.7,3,Intimidate,Sand Rush,Scrappy,370,65,80,65,35,65,60,120.0,70.0,130.0,Medium Slow,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
507,508,Stoutland,5,Normal,Big-Hearted Pokémon,1,Normal,,1.2,61.0,3,Intimidate,Sand Rush,Scrappy,500,85,110,90,45,90,80,45.0,70.0,225.0,Medium Slow,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
508,509,Purrloin,5,Normal,Devious Pokémon,1,Dark,,0.4,10.1,3,Limber,Unburden,Prankster,281,41,50,37,50,37,66,255.0,70.0,56.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
509,510,Liepard,5,Normal,Cruel Pokémon,1,Dark,,1.1,37.5,3,Limber,Unburden,Prankster,446,64,88,50,88,50,106,90.0,70.0,156.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
510,511,Pansage,5,Normal,Grass Monkey Pokémon,1,Grass,,0.6,10.5,2,Gluttony,,Overgrow,316,50,53,48,53,48,64,190.0,70.0,63.0,Medium Fast,1,Field,,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
511,512,Simisage,5,Normal,Thorn Monkey Pokémon,1,Grass,,1.1,30.5,2,Gluttony,,Overgrow,498,75,98,63,98,63,101,75.0,70.0,174.0,Medium Fast,1,Field,,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
512,513,Pansear,5,Normal,High Temp Pokémon,1,Fire,,0.6,11.0,2,Gluttony,,Blaze,316,50,53,48,53,48,64,190.0,70.0,63.0,Medium Fast,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
513,514,Simisear,5,Normal,Ember Pokémon,1,Fire,,1.0,28.0,2,Gluttony,,Blaze,498,75,98,63,98,63,101,75.0,70.0,174.0,Medium Fast,1,Field,,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
514,515,Panpour,5,Normal,Spray Pokémon,1,Water,,0.6,13.5,2,Gluttony,,Torrent,316,50,53,48,53,48,64,190.0,70.0,63.0,Medium Fast,1,Field,,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
515,516,Simipour,5,Normal,Geyser Pokémon,1,Water,,1.0,29.0,2,Gluttony,,Torrent,498,75,98,63,98,63,101,75.0,70.0,174.0,Medium Fast,1,Field,,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
516,517,Munna,5,Normal,Dream Eater Pokémon,1,Psychic,,0.6,23.3,3,Forewarn,Synchronize,Telepathy,292,76,25,45,67,55,24,190.0,70.0,58.0,Fast,1,Field,,50.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
517,518,Musharna,5,Normal,Drowsing Pokémon,1,Psychic,,1.1,60.5,3,Forewarn,Synchronize,Telepathy,487,116,55,85,107,95,29,75.0,70.0,170.0,Fast,1,Field,,50.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
518,519,Pidove,5,Normal,Tiny Pigeon Pokémon,2,Normal,Flying,0.3,2.1,3,Big Pecks,Super Luck,Rivalry,264,50,55,50,36,30,43,255.0,70.0,53.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
